full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
fuergaosi233/claude-code-proxy,1772,1772,240,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
obra/superpowers,10759,10759,895,27,27,6,https://github.com/obra/superpowers
Pimzino/claude-code-spec-workflow,3221,3221,236,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,23196,23196,2570,10,10,3,https://github.com/wshobson/agents
Piebald-AI/claude-code-system-prompts,1820,1820,271,9,9,1,https://github.com/Piebald-AI/claude-code-system-prompts
anthropics/claude-code-security-review,2742,2742,203,0,0,0,https://github.com/anthropics/claude-code-security-review
davepoon/claude-code-subagents-collection,2070,2070,230,0,0,0,https://github.com/davepoon/claude-code-subagents-collection
siteboon/claudecodeui,5094,5094,648,1,1,0,https://github.com/siteboon/claudecodeui
github/spec-kit,56901,56901,4957,35,35,4,https://github.com/github/spec-kit
https-deeplearning-ai/sc-claude-code-files,337,337,420,0,0,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
ghuntley/claude-code-source-code-deobfuscation,759,759,384,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
lst97/claude-code-sub-agents,1244,1244,210,2,2,1,https://github.com/lst97/claude-code-sub-agents
anthropics/skills,24114,24114,2265,196,196,16,https://github.com/anthropics/skills
nishimoto265/Claude-Code-Communication,463,463,218,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
rizethereum/claude-code-requirements-builder,1713,1713,168,-1,-1,0,https://github.com/rizethereum/claude-code-requirements-builder
sugyan/claude-code-webui,757,757,166,0,0,0,https://github.com/sugyan/claude-code-webui
feiskyer/claude-code-settings,942,942,149,2,2,0,https://github.com/feiskyer/claude-code-settings
winfunc/opcode,19303,19303,1484,4,4,-2,https://github.com/winfunc/opcode
andrepimenta/claude-code-chat,933,933,136,0,0,0,https://github.com/andrepimenta/claude-code-chat
edmund-io/edmunds-claude-code,711,711,150,2,2,0,https://github.com/edmund-io/edmunds-claude-code
centminmod/my-claude-code-setup,1454,1454,136,0,0,0,https://github.com/centminmod/my-claude-code-setup
peterkrueck/Claude-Code-Development-Kit,1257,1257,143,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
steipete/claude-code-mcp,960,960,109,0,0,0,https://github.com/steipete/claude-code-mcp
revfactory/claude-code-mastering,728,728,117,0,0,0,https://github.com/revfactory/claude-code-mastering
wasabeef/claude-code-cookbook,882,882,101,0,0,0,https://github.com/wasabeef/claude-code-cookbook
disler/claude-code-hooks-multi-agent-observability,856,856,266,0,0,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
Njengah/claude-code-cheat-sheet,1054,1054,126,0,0,0,https://github.com/Njengah/claude-code-cheat-sheet
darcyegb/ClaudeCodeAgents,418,418,36,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
opactorai/Claudable,3432,3432,534,2,2,0,https://github.com/opactorai/Claudable
JessyTsui/Claude-Code-Remote,896,896,96,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
0xfurai/claude-code-subagents,584,584,117,0,0,0,https://github.com/0xfurai/claude-code-subagents
EnzeD/vibe-coding,3094,3094,737,4,4,1,https://github.com/EnzeD/vibe-coding
kn1026/cc,697,697,267,0,0,0,https://github.com/kn1026/cc
superdesigndev/superdesign,5558,5558,638,1,1,1,https://github.com/superdesigndev/superdesign
ComposioHQ/awesome-claude-skills,7941,7941,877,15,15,0,https://github.com/ComposioHQ/awesome-claude-skills
zed-industries/claude-code-acp,607,607,88,3,3,0,https://github.com/zed-industries/claude-code-acp
anthropics/claude-agent-sdk-python,3601,3601,482,5,5,0,https://github.com/anthropics/claude-agent-sdk-python
severity1/claude-code-prompt-improver,1000,1000,93,1,1,0,https://github.com/severity1/claude-code-prompt-improver
slopus/happy,5471,5471,428,17,17,2,https://github.com/slopus/happy
EveryInc/compound-engineering-plugin,3034,3034,256,9,9,0,https://github.com/EveryInc/compound-engineering-plugin
lyconear/Claude-Code,3,3,141,0,0,0,https://github.com/lyconear/Claude-Code
greggh/claude-code.nvim,1641,1641,50,1,1,0,https://github.com/greggh/claude-code.nvim
ericbuess/claude-code-docs,510,510,83,0,0,0,https://github.com/ericbuess/claude-code-docs
Matt-Dionis/claude-code-configs,572,572,78,0,0,0,https://github.com/Matt-Dionis/claude-code-configs
coleam00/context-engineering-intro,11908,11908,2525,0,0,1,https://github.com/coleam00/context-engineering-intro
alirezarezvani/claude-code-tresor,320,320,90,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
steipete/agent-rules,5362,5362,474,2,2,0,https://github.com/steipete/agent-rules
catlog22/Claude-Code-Workflow,625,625,65,0,0,0,https://github.com/catlog22/Claude-Code-Workflow
router-for-me/CLIProxyAPI,3280,3280,501,4,4,3,https://github.com/router-for-me/CLIProxyAPI
manzaltu/claude-code-ide.el,1197,1197,62,0,0,0,https://github.com/manzaltu/claude-code-ide.el
d-kimuson/claude-code-viewer,712,712,58,1,1,1,https://github.com/d-kimuson/claude-code-viewer
UfoMiao/zcf,4835,4835,341,0,0,0,https://github.com/UfoMiao/zcf
anthropics/claude-agent-sdk-demos,817,817,135,0,0,1,https://github.com/anthropics/claude-agent-sdk-demos
gurusup/claude-code-demo,64,64,152,0,0,0,https://github.com/gurusup/claude-code-demo
hesreallyhim/a-list-of-claude-code-agents,1087,1087,105,1,1,0,https://github.com/hesreallyhim/a-list-of-claude-code-agents
oraios/serena,17434,17434,1199,6,6,1,https://github.com/oraios/serena
zsio/claude-code-hub,136,136,114,0,0,0,https://github.com/zsio/claude-code-hub
stretchcloud/claude-code-unified-agents,710,710,67,0,0,0,https://github.com/stretchcloud/claude-code-unified-agents
Dicklesworthstone/claude_code_agent_farm,602,602,71,1,1,0,https://github.com/Dicklesworthstone/claude_code_agent_farm
MadAppGang/claude-code,178,178,17,0,0,0,https://github.com/MadAppGang/claude-code
numman-ali/openskills,3010,3010,217,11,11,0,https://github.com/numman-ali/openskills
IncomeStreamSurfer/claude-code-agents-wizard-v2,302,302,154,2,2,0,https://github.com/IncomeStreamSurfer/claude-code-agents-wizard-v2
daaain/claude-code-log,574,574,52,0,0,0,https://github.com/daaain/claude-code-log
iannuttall/claude-agents,1945,1945,260,0,0,0,https://github.com/iannuttall/claude-agents
cexll/myclaude,1339,1339,191,1,1,0,https://github.com/cexll/myclaude
jeremylongshore/claude-code-plugins-plus-skills,731,731,77,7,7,1,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
stevemolitor/claude-code.el,551,551,49,0,0,0,https://github.com/stevemolitor/claude-code.el
disler/claude-code-is-programmable,277,277,89,0,0,0,https://github.com/disler/claude-code-is-programmable
nikivdev/research,4850,4850,567,0,0,0,https://github.com/nikivdev/research
ericc-ch/copilot-api,1807,1807,305,3,3,0,https://github.com/ericc-ch/copilot-api
BeehiveInnovations/pal-mcp-server,10571,10571,899,1,1,0,https://github.com/BeehiveInnovations/pal-mcp-server
cjo4m06/mcp-shrimp-task-manager,1929,1929,233,0,0,0,https://github.com/cjo4m06/mcp-shrimp-task-manager
sst/opencode,40895,40895,3492,44,44,4,https://github.com/sst/opencode
omnara-ai/omnara,2558,2558,184,0,0,0,https://github.com/omnara-ai/omnara
pchalasani/claude-code-tools,558,558,43,0,0,0,https://github.com/pchalasani/claude-code-tools
humanlayer/humanlayer,8067,8067,667,4,4,0,https://github.com/humanlayer/humanlayer
SuperClaude-Org/SuperClaude_Framework,19354,19354,1684,3,3,0,https://github.com/SuperClaude-Org/SuperClaude_Framework
seifghazi/claude-code-proxy,316,316,50,0,0,1,https://github.com/seifghazi/claude-code-proxy
kxn/claude-code-companion,298,298,49,0,0,0,https://github.com/kxn/claude-code-companion
czlonkowski/n8n-mcp,10933,10933,2021,5,5,2,https://github.com/czlonkowski/n8n-mcp
foreveryh/claude-code-switch,312,312,46,0,0,0,https://github.com/foreveryh/claude-code-switch
9j/claude-code-mux,416,416,42,0,0,0,https://github.com/9j/claude-code-mux
