full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
slopus/happy,7002,7002,520,25,25,2,https://github.com/slopus/happy
jarrodwatts/claude-code-config,728,728,90,2,2,1,https://github.com/jarrodwatts/claude-code-config
pchalasani/claude-code-tools,1018,1018,75,3,3,0,https://github.com/pchalasani/claude-code-tools
lyconear/Claude-Code,4,4,143,0,0,0,https://github.com/lyconear/Claude-Code
alirezarezvani/claude-code-tresor,422,422,106,-1,-1,0,https://github.com/alirezarezvani/claude-code-tresor
catlog22/Claude-Code-Workflow,913,913,76,4,4,2,https://github.com/catlog22/Claude-Code-Workflow
severity1/claude-code-prompt-improver,1042,1042,95,1,1,0,https://github.com/severity1/claude-code-prompt-improver
anthropics/claude-agent-sdk-demos,1098,1098,175,2,2,-1,https://github.com/anthropics/claude-agent-sdk-demos
ericbuess/claude-code-docs,543,543,89,1,1,0,https://github.com/ericbuess/claude-code-docs
simonw/claude-code-transcripts,738,738,75,1,1,0,https://github.com/simonw/claude-code-transcripts
numman-ali/openskills,4594,4594,342,42,42,4,https://github.com/numman-ali/openskills
greggh/claude-code.nvim,1704,1704,53,2,2,0,https://github.com/greggh/claude-code.nvim
zsio/claude-code-hub,144,144,147,-1,-1,0,https://github.com/zsio/claude-code-hub
d-kimuson/claude-code-viewer,768,768,70,0,0,0,https://github.com/d-kimuson/claude-code-viewer
jeremylongshore/claude-code-plugins-plus-skills,945,945,114,1,1,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
Matt-Dionis/claude-code-configs,592,592,79,0,0,0,https://github.com/Matt-Dionis/claude-code-configs
coleam00/context-engineering-intro,12161,12161,2573,4,4,3,https://github.com/coleam00/context-engineering-intro
manzaltu/claude-code-ide.el,1243,1243,70,0,0,0,https://github.com/manzaltu/claude-code-ide.el
nextlevelbuilder/ui-ux-pro-max-skill,11510,11510,1225,335,335,28,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill
BloopAI/vibe-kanban,15001,15001,1396,162,162,11,https://github.com/BloopAI/vibe-kanban
anthropics/claude-plugins-official,3056,3056,344,115,115,16,https://github.com/anthropics/claude-plugins-official
MadAppGang/claude-code,204,204,19,0,0,0,https://github.com/MadAppGang/claude-code
UfoMiao/zcf,5163,5163,361,11,11,1,https://github.com/UfoMiao/zcf
gurusup/claude-code-demo,71,71,154,0,0,0,https://github.com/gurusup/claude-code-demo
kepano/obsidian-skills,5516,5516,237,162,162,10,https://github.com/kepano/obsidian-skills
hesreallyhim/a-list-of-claude-code-agents,1121,1121,109,-1,-1,0,https://github.com/hesreallyhim/a-list-of-claude-code-agents
bfly123/claude_code_bridge,595,595,60,10,10,1,https://github.com/bfly123/claude_code_bridge
stretchcloud/claude-code-unified-agents,722,722,70,0,0,0,https://github.com/stretchcloud/claude-code-unified-agents
Dicklesworthstone/claude_code_agent_farm,621,621,74,1,1,0,https://github.com/Dicklesworthstone/claude_code_agent_farm
cexll/myclaude,1736,1736,218,10,10,0,https://github.com/cexll/myclaude
zhukunpenglinyutong/idea-claude-code-gui,635,635,74,15,15,2,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
anomalyco/opencode,62970,62970,5410,1256,1256,99,https://github.com/anomalyco/opencode
oraios/serena,18499,18499,1259,19,19,1,https://github.com/oraios/serena
breaking-brake/cc-wf-studio,2497,2497,276,32,32,4,https://github.com/breaking-brake/cc-wf-studio
daaain/claude-code-log,621,621,54,0,0,0,https://github.com/daaain/claude-code-log
glidea/claude-worker-proxy,241,241,120,2,2,0,https://github.com/glidea/claude-worker-proxy
ericc-ch/copilot-api,1975,1975,338,3,3,0,https://github.com/ericc-ch/copilot-api
IncomeStreamSurfer/claude-code-agents-wizard-v2,307,307,157,0,0,0,https://github.com/IncomeStreamSurfer/claude-code-agents-wizard-v2
stevemolitor/claude-code.el,578,578,51,1,1,0,https://github.com/stevemolitor/claude-code.el
iannuttall/claude-agents,1956,1956,263,1,1,0,https://github.com/iannuttall/claude-agents
carlvellotti/claude-code-pm-course,315,315,86,1,1,0,https://github.com/carlvellotti/claude-code-pm-course
